virus	virusid	host	hostid	coronavirus
kenya bat coronavirus btky91	4193816	eidolon helvum	3524418	1
kenya bat coronavirus btky92	4193817	eidolon helvum	3524418	1
kenya bat coronavirus btky93	4193818	eidolon helvum	3524418	1
kenya bat coronavirus btky94	4193819	eidolon helvum	3524418	1
kenya bat coronavirus btky95	4193820	eidolon helvum	3524418	1
kenya bat coronavirus btky96	4193821	eidolon helvum	3524418	1
kenya bat coronavirus btky97	4193822	eidolon helvum	3524418	1
kenya bat coronavirus btky98	4193823	eidolon helvum	3524418	1
kenya bat coronavirus btky99	4193824	eidolon helvum	3524418	1
kenya bat coronavirus/btky56/btky55	2042604	eidolon helvum	3524418	1
kenya bat coronavirus/btky56/btky55	2042604	epomophorus gambianus	3823262	1
kenya bat coronavirus/btky56/btky55	2042604	epomophorus labiatus	24565844	1
kenya bat coronavirus/btky56/btky55	2042604	epomops franqueti	3524450	1
kenya bat coronavirus/btky56/btky55	2042604	megaloglossus woermanni	3491747	1
kenya bat coronavirus/btky56/btky55	2042604	micropteropus pusillus	3524457	1
kenya bat coronavirus/btky56/btky55	2042604	rousettus aegyptiacus	3433255	1
kenya bat coronavirus/btky56/btky55	2042604	scotophilus leucogaster	3714639	1
kenya bat coronavirus/ky33/2006	2042643	miniopterus inflatus	3690113	1
kerivoula titania coronavirus	27721963	kerivoula titania	4024944	1
kern canyon ledantevirus	3830835	myotis yumanensis	3632942	0
keterah orthonairovirus	1980525	scotophilus kuhlii	3627544	0
keuraliba ledantevirus	3830840	gerbilliscus kempi	3857725	0
keystone orthobunyavirus	3452446	homo sapiens	3433574	0
keystone orthobunyavirus	3452446	odocoileus virginianus	3434038	0
keystone orthobunyavirus	3452446	procyon lotor	3433651	0
keystone orthobunyavirus	3452446	sciurus carolinensis	3445773	0
keystone orthobunyavirus	3452446	sylvilagus floridanus	3434205	0
khabarovsk orthohantavirus	3465211	apodemus agrarius	3458388	0
khabarovsk orthohantavirus	3465211	microtus fortis	3566421	0
khabarovsk orthohantavirus	3465211	microtus maximowiczii	3911462	0
khabarovsk orthohantavirus	3465211	microtus oeconomus	3503296	0
khujand lyssavirus	3704731	eonycteris spelaea	3491732	0
khujand lyssavirus	3704731	hipposideros armiger	3658554	0
khujand lyssavirus	3704731	pteropus lylei	3639202	0
kimberley ephemerovirus	3774943	bos taurus	3434101	0
kirsten murine sarcoma virus	3436779	cricetulus griseus	3434272	0
klamath tupavirus	4197210	microtus montanus	3544320	0
klamath tupavirus	4197210	odocoileus hemionus	3434034	0
koala retrovirus	3843437	phascolarctos cinereus	3457716	0
