virus	virusid	host	hostid	coronavirus
acerodon celebensis polyomavirus 1	26205236	acerodon celebensis	3491718	0
acerodon celebensis polyomavirus 2	26205240	acerodon celebensis	3491718	0
achimota pararubulavirus 1	27250094	eidolon helvum	3524418	0
achimota pararubulavirus 2	27250096	eidolon helvum	3524418	0
adelaide river ephemerovirus	3446981	bos indicus	3434103	0
adelaide river ephemerovirus	3446981	bos taurus	3434101	0
adelaide river ephemerovirus	3446981	bubalus bubalis	3546118	0
adelaide river ephemerovirus	3446981	bubalus carabanensis	3799968	0
adelaide river ephemerovirus	3446981	bubalus depressicornis	3441023	0
adelaide river ephemerovirus	3446981	syncerus caffer	3434174	0
adeno-associated dependoparvovirus a	26552295	capra hircus	3434115	0
adeno-associated dependoparvovirus a	26552295	homo sapiens	3433574	0
adeno-associated dependoparvovirus a	26552295	macaca mulatta	3433483	0
adeno-associated dependoparvovirus b	26552297	bos taurus	3434101	0
adeno-associated dependoparvovirus b	26552297	capra hircus	3434115	0
adeno-associated dependoparvovirus b	26552297	homo sapiens	3433574	0
adeno-associated virus	3736135	capra hircus	3434115	0
adeno-associated virus	3736135	homo sapiens	3433574	0
adeno-associated virus	3736135	macaca mulatta	3433483	0
adeno-associated virus	3736135	sus scrofa	3433956	0
adler hantavirus	26302996	microtus majori	3733465	0
african elephant endotheliolytic herpesvirus	3549764	loxodonta africana	3433889	0
african elephant endotheliolytic herpesvirus	3549764	loxodonta cyclotis	3564065	0
african green monkey polyomavirus	3437738	chlorocebus aethiops	3433463	0
african green monkey polyomavirus	3437738	chlorocebus cynosuros	3903022	0
african green monkey polyomavirus	3437738	chlorocebus djamdjamensis	25934055	0
african green monkey polyomavirus	3437738	chlorocebus pygerythrus	3496402	0
african green monkey polyomavirus	3437738	chlorocebus sabaeus	3496404	0
african green monkey polyomavirus	3437738	chlorocebus tantalus	3496406	0
african green monkey simian foamy virus	3792643	chlorocebus aethiops	3433463	0
african horse sickness virus	3460146	canis lupus familiaris	3433584	0
african horse sickness virus	3460146	ceratotherium simum	3433928	0
african horse sickness virus	3460146	diceros bicornis	3433924	0
african horse sickness virus	3460146	equus asinus	3433905	0
african horse sickness virus	3460146	equus asinus x caballus	24320964	0
african horse sickness virus	3460146	equus burchellii	3433899	0
african horse sickness virus	3460146	equus caballus	3433909	0
african horse sickness virus	3460146	equus zebra	3433901	0
african swine fever virus	3435001	hylochoerus meinertzhageni	24324561	0
african swine fever virus	3435001	phacochoerus aethiopicus	3539195	0
african swine fever virus	3435001	phacochoerus africanus	3462605	0
african swine fever virus	3435001	potamochoerus larvatus	3737206	0
african swine fever virus	3435001	potamochoerus porcus	3737205	0
african swine fever virus	3435001	sus scrofa	3433956	0
aichivirus a	3515363	canis adustus	3509500	0
aichivirus a	3515363	canis aureus	3509501	0
aichivirus a	3515363	canis lupus familiaris	3433584	0
aichivirus a	3515363	crocuta crocuta	3433694	0
aichivirus a	3515363	felis catus	3433706	0
aichivirus a	3515363	homo sapiens	3433574	0
aichivirus b	3665716	bos taurus	3434101	0
aichivirus b	3665716	capra hircus	3434115	0
aichivirus c	26310400	sus scrofa	3433956	0
aichivirus d	27724797	bos taurus	3434101	0
aichivirus d	27724797	capra hircus	3434115	0
aichivirus e	27190776	oryctolagus cuniculus	3434201	0
aichivirus f	26205228	miniopterus fuliginosus	3658570	0
aichivirus f	26205228	miniopterus schreibersii	3433300	0
aichivirus f	26205228	myotis altarium	3863063	0
aichivirus f	26205228	myotis bechsteinii	3494200	0
aichivirus f	26205228	myotis dasycneme	3632930	0
aichivirus f	26205228	myotis myotis	3479704	0
aichivirus f	26205228	myotis oxygnathus	3859431	0
aichivirus f	26205228	myotis ricketti	3673960	0
aichivirus f	26205228	nyctalus noctula	3479708	0
aichivirus f	26205228	nyctalus velutinus	3658574	0
aichivirus f	26205228	rhinolophus affinis	3494227	0
aichivirus f	26205228	rhinolophus blasii	3954103	0
aichivirus f	26205228	rhinolophus euryale	3581323	0
aichivirus f	26205228	rhinolophus ferrumequinum	3494231	0
aichivirus f	26205228	rhinolophus hipposideros	3524426	0
aichivirus f	26205228	rhinolophus lepidus	3659999	0
aichivirus f	26205228	rhinolophus sinicus	3546014	0
aichivirus f	26205228	vespertilio sinensis	3573905	0
aino orthobunyavirus	3436421	bos taurus	3434101	0
aino orthobunyavirus	3436421	bubalus bubalis	3546118	0
aino orthobunyavirus	3436421	camelus dromedarius	3433981	0
aino orthobunyavirus	3436421	capra hircus	3434115	0
aino orthobunyavirus	3436421	ovis aries	3434136	0
akabane orthobunyavirus	3512557	bison bison	3434090	0
akabane orthobunyavirus	3512557	bos taurus	3434101	0
akabane orthobunyavirus	3512557	capra hircus	3434115	0
akabane orthobunyavirus	3512557	ceratotherium simum	3433928	0
akabane orthobunyavirus	3512557	diceros bicornis	3433924	0
akabane orthobunyavirus	3512557	equus caballus	3433909	0
akabane orthobunyavirus	3512557	oryx leucoryx	3459038	0
akabane orthobunyavirus	3512557	ovis aries	3434136	0
akabane orthobunyavirus	3512557	rhizomys pruinosus	3483188	0
akabane orthobunyavirus	3512557	saiga tatarica	3451563	0
akabane orthobunyavirus	3512557	sus scrofa	3433956	0
akabane orthobunyavirus	3512557	tragelaphus angasii	3506322	0
alcelaphine gammaherpesvirus 1	3452140	alcelaphus buselaphus	3494305	0
alcelaphine gammaherpesvirus 1	3452140	alces alces	3434005	0
alcelaphine gammaherpesvirus 1	3452140	alces americanus	4250465	0
alcelaphine gammaherpesvirus 1	3452140	ammotragus lervia	3434086	0
alcelaphine gammaherpesvirus 1	3452140	antilocapra americana	3434070	0
alcelaphine gammaherpesvirus 1	3452140	axis axis	3445617	0
alcelaphine gammaherpesvirus 1	3452140	bison bison	3434090	0
alcelaphine gammaherpesvirus 1	3452140	bison bonasus	3434092	0
alcelaphine gammaherpesvirus 1	3452140	bos gaurus	3434096	0
alcelaphine gammaherpesvirus 1	3452140	bos grunniens	3445607	0
alcelaphine gammaherpesvirus 1	3452140	bos indicus	3434103	0
alcelaphine gammaherpesvirus 1	3452140	bos javanicus	3434098	0
alcelaphine gammaherpesvirus 1	3452140	bos taurus	3434101	0
alcelaphine gammaherpesvirus 1	3452140	boselaphus tragocamelus	3434107	0
alcelaphine gammaherpesvirus 1	3452140	bubalus bubalis	3546118	0
alcelaphine gammaherpesvirus 1	3452140	capra hircus	3434115	0
alcelaphine gammaherpesvirus 1	3452140	cervus duvaucelii	3465830	0
alcelaphine gammaherpesvirus 1	3452140	cervus elaphus	3434017	0
alcelaphine gammaherpesvirus 1	3452140	cervus nippon	3434021	0
alcelaphine gammaherpesvirus 1	3452140	connochaetes gnou	3494325	0
alcelaphine gammaherpesvirus 1	3452140	connochaetes taurinus	3434119	0
alcelaphine gammaherpesvirus 1	3452140	damaliscus lunatus	3434123	0
alcelaphine gammaherpesvirus 1	3452140	elaphurus davidianus	3465838	0
alcelaphine gammaherpesvirus 1	3452140	gazella gazella	3510394	0
alcelaphine gammaherpesvirus 1	3452140	kobus ellipsiprymnus	3434164	0
alcelaphine gammaherpesvirus 1	3452140	kobus leche	3494331	0
alcelaphine gammaherpesvirus 1	3452140	odocoileus hemionus	3434034	0
alcelaphine gammaherpesvirus 1	3452140	odocoileus virginianus	3434038	0
alcelaphine gammaherpesvirus 1	3452140	oreamnos americanus	3451559	0
alcelaphine gammaherpesvirus 1	3452140	oryx beisa	3798773	0
alcelaphine gammaherpesvirus 1	3452140	oryx dammah	3494336	0
alcelaphine gammaherpesvirus 1	3452140	oryx gazella	3434158	0
alcelaphine gammaherpesvirus 1	3452140	ovibos moschatus	3455253	0
alcelaphine gammaherpesvirus 1	3452140	syncerus caffer	3434174	0
alcelaphine gammaherpesvirus 1	3452140	tragelaphus spekii	3510386	0
alcelaphine gammaherpesvirus 1	3452140	tragelaphus strepsiceros	3434144	0
alcelaphine gammaherpesvirus 2	3613989	alcelaphus buselaphus	3494305	0
alcelaphine gammaherpesvirus 2	3613989	ammotragus lervia	3434086	0
alcelaphine gammaherpesvirus 2	3613989	bison bison	3434090	0
alcelaphine gammaherpesvirus 2	3613989	cervus elaphus	3434017	0
alcelaphine gammaherpesvirus 2	3613989	damaliscus lunatus	3434123	0
alcelaphine gammaherpesvirus 2	3613989	odocoileus virginianus	3434038	0
allpahuayo mammarenavirus	3620060	oecomys bicolor	3474085	0
allpahuayo mammarenavirus	3620060	oecomys paricola	3671397	0
alpaca coronavirus	27457890	vicugna pacos	3445626	1
alpaca coronavirus ca08-1/2008	4051728	vicugna pacos	3445626	1
alphaarterivirus equid	3435819	equus asinus	3433905	0
alphaarterivirus equid	3435819	equus asinus x caballus	24320964	0
alphaarterivirus equid	3435819	equus burchellii	3433899	0
alphaarterivirus equid	3435819	equus caballus	3433909	0
alphacoronavirus 1	4073256	acinonyx jubatus	3448402	1
alphacoronavirus 1	4073256	ailuropoda melanoleuca	3433636	1
alphacoronavirus 1	4073256	canis latrans	3433582	1
alphacoronavirus 1	4073256	canis lupus	3433580	1
alphacoronavirus 1	4073256	canis lupus familiaris	3433584	1
alphacoronavirus 1	4073256	canis mesomelas	3509503	1
alphacoronavirus 1	4073256	caracal caracal	3497574	1
alphacoronavirus 1	4073256	crocuta crocuta	3433694	1
alphacoronavirus 1	4073256	felis catus	3433706	1
alphacoronavirus 1	4073256	felis silvestris	3433704	1
alphacoronavirus 1	4073256	leopardus geoffroyi	3472029	1
alphacoronavirus 1	4073256	leopardus pardalis	3448404	1
alphacoronavirus 1	4073256	leopardus tigrinus	3472027	1
alphacoronavirus 1	4073256	leopardus wiedii	3497557	1
alphacoronavirus 1	4073256	lynx canadensis	3497559	1
alphacoronavirus 1	4073256	lynx lynx	3438160	1
alphacoronavirus 1	4073256	lynx rufus	3497561	1
alphacoronavirus 1	4073256	martes pennanti	3523537	1
alphacoronavirus 1	4073256	melogale moschata	3674495	1
alphacoronavirus 1	4073256	nyctereutes procyonoides	3451573	1
alphacoronavirus 1	4073256	panthera leo	3433712	1
alphacoronavirus 1	4073256	prionailurus iriomotensis	3455014	1
alphacoronavirus 1	4073256	pteropus giganteus	3618717	1
alphacoronavirus 1	4073256	puma concolor	3433725	1
alphacoronavirus 1	4073256	puma yagouaroundi	25996844	1
alphacoronavirus 1	4073256	sus scrofa	3433956	1
alphacoronavirus 1	4073256	urocyon littoralis	3710690	1
alphacoronavirus 1	4073256	ursus americanus	3433630	1
alphacoronavirus 1	4073256	ursus arctos	3433632	1
alphacoronavirus 1	4073256	ursus maritimus	3443313	1
alphacoronavirus 1	4073256	vulpes vulpes	3433604	1
alphacoronavirus 2	26552315	neovison vison	3895726	1
alphacoronavirus bat-cov/p.kuhlii/italy/206645-41/2011	2492656	pipistrellus kuhlii	3494218	1
alphacoronavirus bat-cov/p.kuhlii/italy/206679-3/2010	2492657	pipistrellus kuhlii	3494218	1
alphacoronavirus bat-cov/p.kuhlii/italy/3398-19/2015	2492658	pipistrellus kuhlii	3494218	1
alphacoronavirus btcov/grnc1/neo_cap/rsa/2012	26610624	neoromicia capensis	3583804	1
alphacoronavirus btcov/grnc2/neo_cap/rsa/2012	26610626	neoromicia capensis	3583804	1
alphacoronavirus btcov/grnc3/neo_cap/rsa/2012	26610628	neoromicia capensis	3583804	1
alphacoronavirus btcov/grnc4/neo_cap/rsa/2012	26610630	neoromicia capensis	3583804	1
alphacoronavirus btcov/grnc5/neo_cap/rsa/2012	26610632	neoromicia capensis	3583804	1
alphacoronavirus btcov/grnc6/neo_cap/rsa/2012	26610634	neoromicia capensis	3583804	1
alphacoronavirus btcov/grnc7/neo_cap/rsa/2012	26610636	neoromicia capensis	3583804	1
alphacoronavirus btcov/grnc8/neo_cap/rsa/2012	26610638	neoromicia capensis	3583804	1
alphacoronavirus btcov/mstm2/min_nat/rsa/2010	26610640	miniopterus natalensis	3750009	1
alphacoronavirus btcov/mstm6/min_nat/rsa/2010	26610642	miniopterus natalensis	3750009	1
alphacoronavirus btcov/ncl_mco1/mop_con/rsa/2012	26610644	mops condylurus	3723809	1
alphacoronavirus btcov/vh_nc2/neo_cap/rsa/2012	26610646	neoromicia capensis	3583804	1
alphacoronavirus eptesicus fuscus	1235419	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-239577/it/usa/2009	4214381	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-265225/it/usa/2009	4214395	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-287740/it/usa/2009	4214377	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-293985/it/usa/2009	4214389	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-5088/it/usa/2009	4214390	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-66604/it/usa/2009	4214391	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c1148/it/usa/2009	4214373	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c146/it/usa/2009	4214397	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c149/it/usa/2009	4214396	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c264/it/usa/2009	4214393	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c265/it/usa/2009	4214392	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c328/it/usa/2009	4214388	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c348/it/usa/2009	4214386	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c362/it/usa/2009	4214385	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c368/it/usa/2009	4214384	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c412/it/usa/2009	4214383	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c414//it/usa/2009	4214382	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c454/it/usa/2009	4214380	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c676/it/usa/2009	4214379	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c837/it/usa/2009	4214374	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-replicase/it/usa/2009	4214378	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p2-21252/it/usa/2009	4214394	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p2-c344/it/usa/2009	4214387	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p3-c450/it/usa/2009	4214376	eptesicus fuscus	3443321	1
alphacoronavirus eptesicus fuscus/appalachian ridge/p3-c766/it/usa/2009	4214375	eptesicus fuscus	3443321	1
alphacoronavirus h.sav/l/spain/2007	24643399	hypsugo savii	3581341	1
alphacoronavirus l232	2520501	oryctolagus cuniculus	3434201	1
alphacoronavirus m.bly/b/spain/2004	24643389	myotis blythii	3581335	1
alphacoronavirus m.dau/h/spain/2007	24643395	myotis daubentonii	3563007	1
alphacoronavirus m.myo/i/spain/2007	24643396	myotis myotis	3479704	1
alphacoronavirus m.sch/a/spain/2004	24643388	miniopterus schreibersii	3433300	1
alphacoronavirus myotis/13rs384_31/italy/2012	26610648	myotis blythii	3581335	1
alphacoronavirus n.las/c/spain/2007	24643390	nyctalus lasiopterus	3494204	1
alphacoronavirus n.las/d/spain/2007	24643391	nyctalus lasiopterus	3494204	1
alphacoronavirus n.las/e/spain/2007	24643392	nyctalus lasiopterus	3494204	1
alphacoronavirus n.las/f/spain/2007	24643393	nyctalus lasiopterus	3494204	1
alphacoronavirus n.las/g/spain/2007	24643394	nyctalus lasiopterus	3494204	1
alphacoronavirus p.kuh/iprima/spain/2007	24643397	pipistrellus kuhlii	3494218	1
alphacoronavirus perimyotis subflavus	1235421	pipistrellus subflavus	3441141	1
alphacoronavirus pip1_cr_fr_2014	27668774	pipistrellus pipistrellus	3494221	1
alphacoronavirus pip2_cr_fr_2014	27400896	pipistrellus pipistrellus	3494221	1
alphacoronavirus pip3_m_fr_2014	27400898	pipistrellus pipistrellus	3494221	1
alphacoronavirus pipistrellus kuhlii/italy/206645-41/2010	26610650	pipistrellus kuhlii	3494218	1
alphacoronavirus pipistrellus kuhlii/italy/206679-3/2010	26610652	pipistrellus kuhlii	3494218	1
alphacoronavirus plmg1	2520502	myodes glareolus	3891106	1
alphacoronavirus sp.	1906673	artibeus planirostris	3460451	1
alphacoronavirus sp.	1906673	eptesicus isabellinus	3940402	1
alphacoronavirus sp.	1906673	miniopterus schreibersii	3433300	1
alphacoronavirus sp.	1906673	myotis capaccinii	3581325	1
alphacoronavirus sp.	1906673	myotis daubentonii	3563007	1
alphacoronavirus sp.	1906673	myotis emarginatus	3581331	1
alphacoronavirus sp.	1906673	myotis horsfieldii	3614650	1
alphacoronavirus sp.	1906673	myotis myotis	3479704	1
alphacoronavirus sp.	1906673	myotis nattereri	3581333	1
alphacoronavirus sp.	1906673	myotis punicus	3836645	1
alphacoronavirus sp.	1906673	neoromicia capensis	3583804	1
alphacoronavirus sp.	1906673	oryctolagus cuniculus	3434201	1
alphacoronavirus sp.	1906673	pipistrellus pipistrellus	3494221	1
alphacoronavirus sp.	1906673	rhinolophus euryale	3581323	1
alphacoronavirus sp.	1906673	rhinolophus ferrumequinum	3494231	1
alphacoronavirus sp.	1906673	scotophilus kuhlii	3627544	1
alphacoronavirus trinidad/1fy2ba/2007	2042644	carollia perspicillata	3460457	1
alphacoronavirus tt-2016a	27467592	microtus agrestis	3443349	1
alphacoronavirus tt-2016a	27467592	myodes glareolus	3891106	1
alphacoronavirus tt-2016a	27467592	rattus norvegicus	3434405	1
alphacoronavirus tt-2016a	27467592	sorex araneus	3464087	1
alphacoronavirus ukma1	2520503	microtus agrestis	3443349	1
alphacoronavirus ukrn3	2520504	rattus norvegicus	3434405	1
alphapapillomavirus 1	3791691	homo sapiens	3433574	0
alphapapillomavirus 10	3788617	homo sapiens	3433574	0
alphapapillomavirus 10	3788617	pan paniscus	3433556	0
alphapapillomavirus 11	3791692	homo sapiens	3433574	0
alphapapillomavirus 12	3435090	macaca fascicularis	3433477	0
alphapapillomavirus 12	3435090	macaca fuscata	3433479	0
alphapapillomavirus 12	3435090	macaca mulatta	3433483	0
alphapapillomavirus 12	3435090	papio hamadryas	3433504	0
alphapapillomavirus 13	3788629	homo sapiens	3433574	0
alphapapillomavirus 2	3791683	homo sapiens	3433574	0
alphapapillomavirus 3	3788630	homo sapiens	3433574	0
alphapapillomavirus 4	3791686	homo sapiens	3433574	0
alphapapillomavirus 5	3791687	homo sapiens	3433574	0
alphapapillomavirus 6	3791693	homo sapiens	3433574	0
alphapapillomavirus 7	3791685	homo sapiens	3433574	0
alphapapillomavirus 8	3788620	homo sapiens	3433574	0
alphapapillomavirus 9	3791684	homo sapiens	3433574	0
altai virus	3953012	sorex araneus	3464087	0
altai virus	3953012	sorex caecutiens	3499107	0
altai virus	3953012	sorex roboratus	3499129	0
alto paraguay hantavirus	3725788	holochilus chacarius	3688016	0
american bison gammaherpesvirus	3648128	bison bison	3434090	0
amga orthohantavirus	26302950	sorex caecutiens	3499107	0
amur virus	3541335	apodemus peninsulae	3573952	0
amur virus	3541335	homo sapiens	3433574	0
andes orthohantavirus	3471595	abrothrix longipilis	3443351	0
andes orthohantavirus	3471595	abrothrix olivaceus	3443356	0
andes orthohantavirus	3471595	akodon montensis	3575432	0
andes orthohantavirus	3471595	akodon paranaensis	3698098	0
andes orthohantavirus	3471595	akodon serrensis	3575436	0
andes orthohantavirus	3471595	akodon varius	3616331	0
andes orthohantavirus	3471595	auliscomys micropus	3545510	0
andes orthohantavirus	3471595	bolomys lasiurus	3445763	0
andes orthohantavirus	3471595	calomys tener	3635718	0
andes orthohantavirus	3471595	homo sapiens	3433574	0
andes orthohantavirus	3471595	mesocricetus auratus	3434286	0
andes orthohantavirus	3471595	neacomys spinosus	3474076	0
andes orthohantavirus	3471595	oligoryzomys chacoensis	3454991	0
andes orthohantavirus	3471595	oligoryzomys flavescens	3688052	0
andes orthohantavirus	3471595	oligoryzomys fulvescens	3688053	0
andes orthohantavirus	3471595	oligoryzomys longicaudatus	3613116	0
andes orthohantavirus	3471595	oligoryzomys microtis	3474080	0
andes orthohantavirus	3471595	oligoryzomys nigripes	3454993	0
andes orthohantavirus	3471595	oligoryzomys utiaritensis	26210445	0
andes orthohantavirus	3471595	oxymycterus nasutus	3610977	0
andes orthohantavirus	3471595	peromyscus maniculatus	3434295	0
andes orthohantavirus	3471595	rattus norvegicus	3434405	0
andes orthohantavirus	3471595	rattus rattus	3434407	0
anhanga virus	4194446	choloepus didactylus	3441147	0
anlong ms bat coronavirus	27581700	miniopterus schreibersii	3433300	1
anlong ms bat coronavirus	27581700	myotis davidii	3693785	1
aotine betaherpesvirus 1	3477913	aotus trivirgatus	3433408	0
aoudad malignant catarrhal fever virus	3788217	ammotragus lervia	3434086	0
ape aime-itapua virus	4077862	akodon montensis	3575432	0
apodemus agrarius rhadinovirus 1	3765575	apodemus agrarius	3458388	0
apodemus flavicollis cytomegalovirus 1	3877219	apodemus flavicollis	3484976	0
apodemus flavicollis cytomegalovirus 2	3877220	apodemus flavicollis	3484976	0
apodemus flavicollis cytomegalovirus 3	3899503	apodemus flavicollis	3484976	0
apodemus flavicollis rhadinovirus 1	3846807	apodemus flavicollis	3484976	0
apodemus sylvaticus cytomegalovirus 1	3877221	apodemus sylvaticus	3434424	0
aquamavirus a	3912933	pusa hispida	3433764	0
araguari virus	3805214	philander opossum	3433026	0
araucaria virus	3765044	akodon montensis	3575432	0
araucaria virus	3765044	akodon paranaensis	3698098	0
araucaria virus	3765044	homo sapiens	3433574	0
araucaria virus	3765044	oligoryzomys nigripes	3454993	0
araucaria virus	3765044	oxymycterus judex	3666774	0
aravan lyssavirus	3681667	eonycteris spelaea	3491732	0
aravan lyssavirus	3681667	myotis blythii	3581335	0
aravan lyssavirus	3681667	myotis velifer	3433304	0
aravan lyssavirus	3681667	pteropus lylei	3639202	0
arctic fox amdovirus	26747873	vulpes lagopus	3932989	0
argentinian mammarenavirus	3436479	akodon azarae	3443352	0
argentinian mammarenavirus	3436479	akodon molinae	3616330	0
argentinian mammarenavirus	3436479	calomys laucha	3488489	0
argentinian mammarenavirus	3436479	calomys musculinus	3488491	0
argentinian mammarenavirus	3436479	cavia porcellus	3434442	0
argentinian mammarenavirus	3436479	galictis cuja	3911841	0
argentinian mammarenavirus	3436479	homo sapiens	3433574	0
argentinian mammarenavirus	3436479	mus musculus	3434366	0
argentinian mammarenavirus	3436479	oligoryzomys flavescens	3688052	0
argentinian mammarenavirus	3436479	oxymycterus rufus	3488521	0
aroa virus	3502593	alouatta caraya	3433402	0
aroa virus	3502593	cricetulus griseus	3434272	0
artashat orthonairovirus	26531918	allactaga elater	3518499	0
artashat orthonairovirus	26531918	meriones libycus	3756631	0
artibeus jamaicensis parvovirus 1	27222176	artibeus jamaicensis	3433274	0
artibeus lituratus adenovirus	2211153	artibeus lituratus	3441090	0
artybash virus	3953011	sorex caecutiens	3499107	0
arvicola terrestris cytomegalovirus 1	3877222	arvicola amphibius	24617143	0
asama orthohantavirus	3991076	urotrichus talpoides	3575420	0
ash river virus	3907869	sorex cinereus	3454611	0
asian elephant endotheliolytic herpesvirus	3549233	elephas maximus	3433885	0
asian leopard cat coronavirus guangxi/f230/2006	3886550	prionailurus bengalensis	3455012	1
asikkala orthohantavirus	26302884	sorex minutus	3499113	0
asinine herpesvirus 4	3682072	equus asinus	3433905	0
asinine herpesvirus 5	3682077	equus asinus	3433905	0
asinine herpesvirus 5	3682077	equus caballus	3433909	0
asinine herpesvirus 6	3682078	equus asinus	3433905	0
asturias virus	26205110	talpa occidentalis	3479092	0
ateline gammaherpesvirus 2	3434843	ateles belzebuth	3433412	0
ateline gammaherpesvirus 2	3434843	ateles fusciceps	3433414	0
ateline gammaherpesvirus 2	3434843	ateles geoffroyi	3433416	0
ateline gammaherpesvirus 2	3434843	ateles marginatus	25934103	0
ateline gammaherpesvirus 2	3434843	ateles paniscus	3433418	0
ateline gammaherpesvirus 2	3434843	brachyteles arachnoides	3445700	0
ateline gammaherpesvirus 2	3434843	brachyteles hypoxanthus	3797012	0
ateline gammaherpesvirus 2	3434843	lagothrix cana	4115765	0
ateline gammaherpesvirus 2	3434843	lagothrix lagotricha	3433433	0
ateline gammaherpesvirus 2	3434843	lagothrix lugens	4115763	0
ateline gammaherpesvirus 2	3434843	lagothrix poeppigii	4115764	0
ateline gammaherpesvirus 2	3434843	saguinus oedipus	3433388	0
atypical cytopathic virus	3455201	homo sapiens	3433574	0
atypical porcine pestivirus	25871147	sus scrofa	3433956	0
australian bat lyssavirus	3548822	equus caballus	3433909	0
australian bat lyssavirus	3548822	homo sapiens	3433574	0
australian bat lyssavirus	3548822	miniopterus schreibersii	3433300	0
australian bat lyssavirus	3548822	philetor brachypterus	4168089	0
australian bat lyssavirus	3548822	pteropus alecto	3433245	0
australian bat lyssavirus	3548822	pteropus conspicillatus	3784032	0
australian bat lyssavirus	3548822	pteropus hypomelanus	3433251	0
australian bat lyssavirus	3548822	pteropus lylei	3639202	0
australian bat lyssavirus	3548822	pteropus poliocephalus	3433247	0
australian bat lyssavirus	3548822	pteropus scapulatus	3554537	0
australian bat lyssavirus	3548822	rousettus amplexicaudatus	3491767	0
australian bat lyssavirus	3548822	saccolaimus flaviventris	3890884	0
australian bat lyssavirus	3548822	scotophilus kuhlii	3627544	0
australian bat lyssavirus	3548822	taphozous melanopogon	3658566	0
avastrovirus 2	26552357	macaca mulatta	3433483	0
avian avulavirus 1	3436049	blarina brevicauda	3433219	0
avian avulavirus 1	3436049	homo sapiens	3433574	0
avian avulavirus 1	3436049	sus scrofa	3433956	0
avian coronavirus	4073271	homo sapiens	3433574	1
avian coronavirus	4073271	vicugna pacos	3445626	1
avian gyrovirus 2	24584726	homo sapiens	3433574	0
avian gyrovirus 2	24584726	mustela putorius	3433676	0
avian orthoreovirus	3456925	eumetopias jubatus	3451585	0
azagny virus	24583981	crocidura obscurior	3623774	0
baboon cytomegalovirus	3597999	papio anubis	3433500	0
baboon cytomegalovirus	3597999	papio cynocephalus	3433502	0
baboon cytomegalovirus	3597999	papio ursinus	3453707	0
baboon endogenous virus	3667063	chlorocebus aethiops	3433463	0
baboon endogenous virus	3667063	mandrillus sphinx	3433506	0
baboon endogenous virus	3667063	papio anubis	3433500	0
baboon endogenous virus	3667063	papio cynocephalus	3433502	0
baboon endogenous virus	3667063	theropithecus gelada	3433512	0
baboon orthoreovirus	3522003	papio anubis	3433500	0
baboon orthoreovirus	3522003	papio cynocephalus	3433502	0
baboon orthoreovirus	3522003	papio hamadryas	3433504	0
baboon orthoreovirus	3522003	papio papio	3566460	0
baboon orthoreovirus	3522003	papio ursinus	3453707	0
balaenoptera acutorostrata gammaherpesvirus 1	27688969	balaenoptera acutorostrata	3433854	0
balaenoptera acutorostrata gammaherpesvirus 2	27688971	balaenoptera acutorostrata	3433854	0
balaenoptera physalus alphaherpesvirus	27445706	balaenoptera physalus	3433860	0
bamboo rat circovirus	2305270	rhizomys pruinosus	3483188	0
bandicota indica cytomegalovirus 1	3877223	bandicota indica	3899148	0
bandicota indica cytomegalovirus 2	3877224	bandicota indica	3899148	0
